id,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number
9555,IP-Mar-1,ESP,,39.58,-3.93,Carlos Alonso-Blanco,2003-12-31 0:00:00,CS77068
9556,IP-Men-2,ESP,,39.66,-4.34,Xavier Picó,00/01/2004,CS77081
9557,IP-Moa-0,ESP,,42.46,0.7,Carlos Alonso-Blanco,00/01/2004,CS77102
9558,IP-Moc-11,ESP,,41.57,-5.64,Carlos Alonso-Blanco,00/01/2004,CS77103
9559,IP-Mon-5,ESP,,38.06,-4.38,Carlos Alonso-Blanco,00/01/2004,CS77107
9560,IP-Mot-0,ESP,,38.19,-6.24,Carlos Alonso-Blanco,00/01/2005,CS77109
9561,IP-Mun-0,ESP,,40.71,-5.04,Carlos Alonso-Blanco,00/01/2006,CS77114
9562,IP-Mur-0,ESP,,41.67,2,Xavier Picó,00/01/2003,CS77115
9563,IP-Nav-0,ESP,,40.42,-4.65,Carlos Alonso-Blanco,00/01/2004,
9564,IP-Nog-17,ESP,,40.45,-1.6,Xavier Picó,00/01/2004,CS77129
9565,IP-Orb-10,ESP,,42.97,-1.23,Carlos Alonso-Blanco,00/01/2004,CS77152
9566,IP-Oso-0,ESP,,42.44,-4.36,Carlos Alonso-Blanco,00/01/2005,
9567,IP-Pal-0,ESP,,42.34,1.3,Xavier Picó,00/01/2006,CS77159
9568,IP-Pan-0,ESP,,42.76,-0.23,Carlos Alonso-Blanco,00/01/2005,CS77160
